index,birga_x,valin_x,valout_x,direction_x,rates_x,volume_x,Com_x,birga_y,valin_y,valout_y,direction_y,rates_y,volume_y,Com_y,Bal1,Bal2,volume,Vol1,Vol2,Vol3,Vol4,profit,percent
48,live,USD,PZM,buy,0.01991,200.0,0.18,live,PZM,USD,sell,0.01951,100.0,0.18,676.0833181489704,3412.91078305,100.0,1.9945838,100.0,100.0,1.9474882,-0.047095600000000015,-2.3611742961112996
49,live,USD,PZM,buy,0.01991,200.0,0.18,live,PZM,USD,sell,0.0195,200.0,0.18,676.0833181489704,3412.91078305,200.0,3.9891676,200.0,200.0,3.89298,-0.09618759999999993,-2.4112198244064733
50,live,USD,PZM,buy,0.01991,200.0,0.18,live,PZM,USD,sell,0.01921,300.7781740000001,0.18,676.0833181489704,3412.91078305,200.0,3.9891676,200.0,200.0,3.8350844,-0.1540832000000001,-3.8625401449665864
51,live,USD,PZM,buy,0.01991,200.0,0.18,live,PZM,USD,sell,0.019,505.73219865,0.18,676.0833181489704,3412.91078305,200.0,3.9891676,200.0,200.0,3.79316,-0.19600760000000017,-4.913496239165287
52,live,USD,PZM,buy,0.01991,200.0,0.18,live,PZM,USD,sell,0.0188,517.99586549,0.18,676.0833181489704,3412.91078305,200.0,3.9891676,200.0,200.0,3.753232,-0.2359355999999999,-5.914406805068804
53,live,USD,PZM,buy,0.01998,399.8,0.18,alfa,PZM,USD,sell,0.0197,67826.64946802,0.2,673.7146578751751,13015.23511546,399.8,8.0023824072,399.8,399.8,7.86030788,-0.14207452720000102,-1.7754028734264435
54,live,USD,PZM,buy,0.01998,399.8,0.18,alfa,PZM,USD,sell,0.0196,76296.03717617999,0.2,673.7146578751751,13015.23511546,399.8,8.0023824072,399.8,399.8,7.82040784,-0.18197456720000105,-2.2740048892973754
55,live,USD,PZM,buy,0.01998,399.8,0.18,live,PZM,USD,sell,0.01951,100.0,0.18,673.7146578751751,3412.91078305,100.0,2.0015964,100.0,100.0,1.9474882,-0.05410819999999994,-2.7032522640428382
56,live,USD,PZM,buy,0.01998,399.8,0.18,live,PZM,USD,sell,0.0195,200.0,0.18,673.7146578751751,3412.91078305,200.0,4.0031928,200.0,200.0,3.89298,-0.11021279999999978,-2.7531224576542948
57,live,USD,PZM,buy,0.01998,399.8,0.18,live,PZM,USD,sell,0.01921,300.7781740000001,0.18,673.7146578751751,3412.91078305,300.778174,6.0203651028,300.778174,300.778174,5.7675484148,-0.25281668799999935,-4.199358073523104
