2020/06/16 18:29:26 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:29:26 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:29:41 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:29:41 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:29:41 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:29:41 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:29:41 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:29:41 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:29:41 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:29:41 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:29:41 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:29:41 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:29:55 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:29:55 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:29:55 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:29:55 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:29:55 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:30:11 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:30:11 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:30:11 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:30:11 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:30:11 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:30:26 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:30:26 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:30:26 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:30:26 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:30:26 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:30:28 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:30:28 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:30:28 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:30:28 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:30:28 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:30:42 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:30:42 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:30:42 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:30:42 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:30:42 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:30:56 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:30:56 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:30:56 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:30:56 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:30:56 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:31:09 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:31:09 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:31:09 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:31:09 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:31:09 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:31:14 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:31:14 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:31:14 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:31:14 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:31:14 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:31:30 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:31:30 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:31:30 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:31:30 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:31:30 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:31:45 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:31:45 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:31:45 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:31:45 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:31:45 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:31:59 callbacks,line: 116     INFO | Logger object created successfully..
